시군구별,지체,시각,청각,언어,지적,자폐
서울특별시 종로구,2429,676,973,45,399,109
서울특별시 중구,2411,689,914,29,307,76
서울특별시 용산구,3145,926,1197,63,526,142
서울특별시 성동구,4870,1108,1721,101,704,211
서울특별시 광진구,5308,1302,1847,92,805,210
서울특별시 동대문구,6950,1483,2500,144,916,193
서울특별시 중랑구,9223,2086,2650,181,1346,275
서울특별시 성북구,7513,1943,2652,175,1176,272
서울특별시 강북구,7328,1899,2805,148,1227,195
서울특별시 도봉구,6459,1618,2375,120,1110,210
서울특별시 노원구,11182,2704,3757,241,2321,425
서울특별시 은평구,8766,2273,3366,178,1837,412
서울특별시 서대문구,5158,1286,1924,113,824,201
서울특별시 마포구,5299,1466,2013,120,853,245
서울특별시 양천구,7495,1720,3074,146,1201,342
서울특별시 강서구,11695,2800,4748,257,2041,431
서울특별시 구로구,7854,1865,3355,172,1258,342
서울특별시 금천구,4934,1159,2067,94,791,148
서울특별시 영등포구,6186,1548,2674,123,879,258
서울특별시 동작구,5868,1497,2540,138,895,259
서울특별시 관악구,8442,2217,3443,159,1389,300
서울특별시 서초구,3967,1141,1491,83,749,336
서울특별시 강남구,5861,1535,2147,123,1037,617
서울특별시 송파구,8306,2077,3044,169,1558,763
서울특별시 강동구,7815,1973,2718,207,1485,519
부산광역시 중구,1110,310,392,23,121,22
부산광역시 서구,2764,698,997,58,496,63
부산광역시 동구,2700,601,964,48,382,36
부산광역시 영도구,3877,908,1329,62,577,70
부산광역시 부산진구,8056,1841,3064,159,1228,234
부산광역시 동래구,4988,1245,1794,103,822,198
부산광역시 남구,5417,1224,2042,120,931,210
부산광역시 북구,6945,1613,2269,139,1233,216
부산광역시 해운대구,7376,1728,2682,199,1174,312
부산광역시 사하구,7908,1809,2534,125,1299,215
부산광역시 금정구,4605,1216,1963,109,892,165
부산광역시 강서구,2417,518,655,63,473,153
부산광역시 연제구,4042,1040,1544,94,752,138
부산광역시 수영구,3363,895,1252,69,509,173
부산광역시 사상구,6098,1273,1730,140,1051,144
부산광역시 기장군,3901,821,1117,97,704,173
대구광역시 중구,1536,409,898,38,269,48
대구광역시 동구,7912,1903,4354,207,1937,219
대구광역시 서구,4621,1093,2612,109,958,83
대구광역시 남구,3359,934,2356,83,778,88
대구광역시 북구,9214,1976,4425,216,1773,324
대구광역시 수성구,6753,1677,3845,151,1434,282
대구광역시 달서구,11014,2732,5884,242,2350,342
대구광역시 달성군,5252,1064,2537,121,1181,162
인천광역시 중구,3077,676,1254,63,476,69
인천광역시 동구,2068,374,1144,33,306,35
인천광역시 미추홀구,10508,2205,4650,266,1691,245
인천광역시 연수구,6498,1197,2226,153,1103,255
인천광역시 남동구,11953,2441,4765,287,1901,391
